3 126
 18 46 1
 67 80 58
 81 96 17
 36 8 54
 59 17 30
 66 67 33
 61 89 11
 58 99 57
 61 55 21
 31 55 1
 26 49 8
 58 64 53
 56 86 35
 64 57 6
 78 80 71
 78 71 52
 30 90 90
 40 4 14
 28 71 85
 19 61 40
 93 13 74
 41 17 53
 95 27 1
 8 34 62
 79 58 42
 27 38 28
 95 95 37
 13 19 59
 58 89 96
 25 43 75
 31 33 31
 34 9 20
 5 22 16
 33 5 86
 66 36 37
 51 91 29
 7 76 24
 41 91 58
 32 30 56
 85 69 54
 70 54 20
 59 73 90
 46 54 16
 50 51 80
 5 74 16
 8 40 50
 16 70 71
 18 31 48
 95 8 53
 68 20 26
 56 27 55
 90 60 80
 6 16 2
 20 11 99
 15 3 72
 87 22 34
 77 30 87
 35 95 72
 35 28 15
 100 96 63
 30 87 80
 27 30 73
 97 75 1
 91 20 20
 44 4 93
 20 14 80
 87 68 87
 19 23 61
 3 85 43
 25 100 75
 35 24 28
 66 2 89
 22 51 67
 25 11 44
 5 30 91
 83 37 58
 89 43 59
 18 100 27
 44 68 53
 40 81 30
 80 79 20
 45 20 66
 12 64 78
 48 54 37
 50 94 34
 46 53 85
 30 31 68
 25 58 79
 35 66 74
 59 16 48
 95 88 78
 63 29 73
 77 10 92
 1 5 95
 16 8 65
 41 57 96
 79 87 14
 61 41 40
 70 74 41
 53 81 69
 18 41 44
 39 82 60
 49 81 9
 84 19 46
 54 20 40
 53 26 43
 14 90 70
 31 34 97
 1 38 48
 11 27 45
 70 22 19
 100 81 99
 9 62 47
 27 73 57
 7 51 66
 3 93 79
 51 61 41
 98 69 82
 36 45 39
 26 56 68
 22 79 16
 14 38 57
 85 59 43
 95 62 55
 79 82 88
 98 41 27
 18 62 95
 83 43 107 20 252 65 46 132 30 187 268 32 71 1 50 184 274 27 89 279 7 82 83 146 144 137 199 104 262 229 184 160 293 136 281 208 269 246 81 261 17 256 3 169 167 111 7 201 179 283 2 208 287 103 132 56 292 137 145 75 93 245 63 137 279 84 185 243 48 271 111 73 156 75 227 153 267 297 130 281 112 213 75 31 99 13 44 287 241 273 81 187 98 35 291 172 39 222 246 254 238 23 250 206 65 245 202 253 138 295 106 253 60 134 215 253 173 264 189 54 201 255 167 231 62 219
