3 179
 100 95 13
 19 80 13
 16 24 85
 12 72 97
 9 69 75
 63 61 90
 44 58 20
 87 16 57
 38 9 33
 37 90 59
 7 81 86
 7 24 3
 99 12 21
 57 44 10
 86 13 49
 76 33 42
 26 54 11
 98 34 36
 100 24 86
 46 73 64
 34 67 42
 68 26 48
 28 59 98
 2 82 84
 61 2 28
 92 53 5
 54 7 81
 51 63 25
 68 18 86
 2 95 78
 5 27 99
 28 69 60
 31 93 12
 69 54 46
 57 19 39
 96 89 27
 7 94 48
 88 36 78
 92 61 34
 34 47 43
 16 5 28
 99 3 76
 56 32 40
 13 46 91
 91 91 25
 46 60 53
 47 13 35
 4 79 42
 22 88 24
 86 34 61
 95 29 25
 42 55 3
 47 16 76
 91 29 28
 82 11 68
 46 98 21
 13 7 73
 71 45 24
 82 65 38
 94 86 12
 67 97 32
 79 38 15
 1 75 5
 62 19 61
 5 95 93
 71 52 75
 74 18 38
 54 16 7
 25 27 73
 97 98 33
 28 44 50
 57 80 66
 33 2 39
 18 25 30
 40 39 83
 1 61 74
 38 90 56
 6 48 92
 2 99 1
 64 3 92
 70 91 55
 48 10 90
 66 19 75
 98 84 96
 65 40 81
 81 85 72
 46 67 54
 36 83 15
 84 90 22
 58 11 80
 37 60 99
 65 80 73
 62 92 45
 69 96 23
 97 13 41
 3 96 36
 70 100 17
 62 12 84
 13 76 99
 75 16 52
 49 24 63
 11 16 37
 58 82 27
 79 19 7
 50 57 66
 26 75 46
 18 27 37
 16 73 35
 63 76 80
 87 57 82
 80 87 21
 58 37 99
 66 90 53
 95 17 28
 36 86 11
 12 46 54
 74 55 23
 87 59 86
 53 80 23
 30 12 43
 19 73 20
 5 28 53
 48 75 96
 27 61 21
 52 12 24
 83 47 82
 80 58 97
 38 35 14
 13 88 36
 55 97 48
 94 51 15
 66 35 11
 95 82 61
 33 4 79
 79 66 91
 21 3 18
 84 97 70
 50 99 38
 80 15 70
 3 75 63
 73 8 7
 53 61 72
 5 100 30
 51 26 40
 49 88 10
 82 51 94
 66 50 25
 89 81 25
 82 1 18
 50 66 15
 35 35 18
 97 99 77
 87 16 20
 32 90 94
 24 10 35
 21 59 88
 75 44 10
 79 8 32
 77 74 49
 54 99 11
 99 98 18
 45 96 5
 93 65 57
 43 11 7
 11 20 46
 49 87 15
 60 67 46
 70 20 65
 87 9 93
 10 64 44
 23 52 38
 79 7 71
 66 90 61
 64 24 51
 69 77 70
 38 4 21
 14 72 93
 61 16 66
 18 52 95
 59 77 12
 157 229 253 91 294 103 139 37 125 225 17 168 68 235 190 146 237 127 133 2 134 39 269 271 201 106 208 118 237 176 127 123 91 164 198 94 35 101 249 65 43 238 65 32 221 41 270 208 31 283 215 215 205 192 93 57 188 298 211 36 79 157 274 146 41 198 277 120 75 169 17 46 282 76 131 109 186 90 220 246 218 73 154 250 124 212 238 126 8 278 117 76 147 258 203 21 96 243 133 122 13 45 195 12 17 261 54 205 204 23 131 187 270 200 150 230 205 117 171 194 186 124 131 273 143 156 99 114 219 271 250 1 269 278 257 169 66 231 40 97 154 83 283 243 213 166 228 98 239 172 206 167 280 278 162 64 238 232 64 179 69 139 274 164 139 47 218 161 224 187 202 22 248 232 218 141 229 248 136
