3 179
 12 46 28
 57 60 58
 70 70 77
 30 6 87
 46 79 91
 57 54 19
 34 94 88
 5 89 66
 21 7 43
 39 66 27
 13 90 85
 33 31 99
 34 68 65
 18 14 59
 80 96 81
 51 41 60
 10 15 62
 63 93 14
 96 5 73
 100 84 88
 18 23 95
 35 48 35
 78 29 85
 17 76 84
 31 93 44
 54 69 95
 8 37 33
 25 14 70
 81 4 76
 7 46 45
 19 56 99
 83 5 95
 34 96 33
 42 27 48
 4 91 13
 25 11 71
 12 84 35
 84 48 9
 68 33 18
 40 72 33
 6 10 49
 43 96 71
 39 65 19
 34 92 92
 7 13 69
 81 32 7
 85 69 10
 29 46 43
 84 5 25
 77 59 18
 39 58 52
 43 34 93
 27 6 12
 65 73 67
 93 32 80
 45 1 14
 61 22 97
 29 96 74
 15 60 93
 20 79 5
 35 87 65
 9 82 16
 16 70 37
 97 40 50
 39 23 15
 11 25 2
 86 3 46
 44 85 10
 88 31 46
 28 18 8
 100 37 66
 30 22 7
 80 97 34
 7 46 58
 39 17 12
 32 56 93
 98 57 58
 27 77 32
 53 54 68
 84 46 46
 63 40 44
 1 95 77
 97 30 6
 1 19 61
 77 61 95
 92 80 40
 4 98 74
 32 40 100
 49 8 39
 28 57 66
 52 36 42
 60 28 10
 6 89 30
 67 16 20
 14 81 79
 72 76 25
 25 53 32
 45 51 2
 92 26 87
 71 95 80
 47 60 93
 78 24 80
 48 43 69
 92 33 96
 78 100 79
 14 14 45
 84 91 91
 79 98 2
 47 51 66
 46 44 7
 69 82 19
 13 75 72
 85 10 22
 47 54 95
 91 42 67
 89 54 87
 21 68 9
 44 41 60
 95 63 22
 35 46 89
 52 73 50
 44 44 79
 45 71 84
 39 92 38
 48 24 68
 30 19 95
 75 20 80
 60 24 20
 91 100 2
 52 1 98
 50 63 70
 6 55 60
 15 1 86
 63 20 17
 16 27 87
 97 64 1
 64 7 42
 45 14 81
 30 22 38
 9 22 1
 56 41 10
 66 99 28
 47 77 69
 51 45 24
 8 34 11
 57 97 32
 65 80 18
 18 9 36
 5 46 11
 36 88 66
 22 47 88
 73 94 8
 11 69 12
 20 27 72
 27 92 89
 56 95 23
 43 50 23
 29 18 40
 52 29 50
 19 42 88
 10 38 51
 3 2 48
 82 42 46
 57 68 21
 70 88 68
 71 76 93
 58 11 68
 91 27 92
 22 73 33
 11 72 79
 96 71 91
 21 71 100
 37 36 91
 44 35 87
 69 89 17
 54 11 95
 67 72 43
 19 99 74
 16 53 27
 14 70 11
 266 44 152 259 90 33 224 83 101 207 128 51 173 288 135 155 219 4 166 229 281 114 180 164 53 279 131 251 217 34 145 290 293 188 78 140 95 130 236 288 86 168 131 98 52 177 169 223 228 176 258 279 236 57 206 275 254 225 65 163 35 139 10 260 299 204 50 187 117 175 65 60 230 227 27 12 269 71 266 300 48 68 264 12 78 291 155 257 192 110 67 65 34 206 204 227 114 261 85 37 147 167 66 214 285 94 59 235 198 63 49 83 148 100 244 166 144 8 208 146 41 282 284 211 179 115 241 143 147 8 92 287 135 50 165 93 230 248 146 11 247 132 283 121 67 54 181 13 157 93 134 219 134 270 212 237 248 298 176 39 292 214 12 33 131 61 57 22 292 272 95 275 216 199 142 190 6 33 238
