3 160
 12 26 70
 42 78 13
 37 51 91
 100 17 88
 96 48 99
 29 71 88
 33 77 53
 50 50 54
 75 86 58
 76 81 38
 46 97 92
 59 48 85
 49 17 83
 23 49 62
 10 95 68
 84 74 82
 95 15 94
 85 15 87
 38 72 38
 55 52 26
 80 94 93
 75 23 69
 52 71 81
 69 79 4
 81 56 90
 58 87 57
 34 89 79
 44 94 71
 6 43 81
 22 47 99
 43 48 56
 20 52 70
 49 44 87
 33 59 4
 59 55 43
 14 47 81
 57 49 54
 96 2 70
 6 20 14
 50 36 13
 97 81 95
 45 37 30
 99 59 44
 70 66 51
 77 49 37
 3 65 75
 82 1 80
 80 75 57
 88 30 6
 27 40 34
 93 13 21
 79 81 17
 75 2 5
 1 35 64
 5 14 67
 78 65 43
 75 48 88
 93 79 47
 74 14 59
 61 35 81
 59 49 63
 18 73 76
 75 61 64
 42 24 32
 46 3 84
 69 100 60
 53 50 20
 30 17 46
 5 52 26
 43 39 30
 44 51 21
 58 100 50
 85 69 16
 83 9 93
 90 98 100
 79 71 49
 20 9 86
 30 79 71
 38 91 40
 90 50 55
 40 56 99
 19 76 81
 61 75 37
 25 55 90
 9 81 75
 84 61 82
 19 20 23
 14 61 44
 10 98 53
 9 14 17
 82 53 71
 77 69 24
 87 54 84
 99 64 51
 54 11 68
 36 20 74
 98 78 35
 22 92 67
 85 4 90
 96 48 3
 68 70 84
 64 73 77
 39 36 58
 98 13 64
 47 21 5
 24 29 64
 89 38 96
 88 21 54
 28 8 17
 96 89 8
 4 57 86
 64 41 53
 1 1 95
 11 97 8
 9 9 73
 68 78 47
 90 1 77
 66 85 88
 56 48 32
 63 100 16
 51 21 32
 12 9 92
 11 5 10
 87 27 73
 6 70 42
 48 81 48
 39 73 90
 59 22 79
 50 58 53
 97 71 91
 84 65 90
 69 12 70
 96 42 66
 6 24 66
 60 78 9
 40 99 40
 90 68 92
 47 41 21
 26 4 21
 56 24 94
 71 82 2
 36 88 1
 96 48 94
 55 17 49
 3 86 10
 66 90 69
 1 71 96
 27 33 86
 38 45 40
 4 38 65
 57 58 18
 76 74 53
 49 39 99
 92 74 85
 51 25 80
 16 94 29
 77 99 95
 31 71 84
 72 18 14
 55 31 81
 18 62 42
 109 142 244 91 123 271 168 62 207 242 290 175 139 141 287 71 196 12 173 261 101 251 49 181 237 124 7 130 263 160 278 220 56 240 240 137 12 225 95 223 272 76 90 251 227 254 123 265 216 167 67 185 228 8 100 129 236 297 53 152 41 20 277 85 147 98 138 47 272 98 139 87 292 169 287 286 235 221 18 280 111 128 126 273 139 46 259 124 115 243 165 184 54 106 154 200 296 64 222 31 143 46 180 10 43 257 146 142 287 149 7 65 93 208 162 99 184 36 291 251 32 69 252 40 91 148 261 109 53 215 236 71 66 94 239 274 297 129 209 196 138 273 178 54 290 154 136 214 116 14 42 33 111 87 215 204 60 246 274 16
