3 116
 19 76 99
 15 35 45
 16 40 54
 5 55 58
 16 17 19
 77 80 42
 73 26 2
 13 80 81
 65 51 26
 58 36 27
 85 47 22
 19 12 8
 58 6 21
 33 23 48
 48 9 97
 12 42 1
 90 39 9
 87 27 12
 15 21 63
 34 91 51
 30 38 14
 37 21 1
 96 45 78
 92 34 87
 39 91 6
 29 95 42
 90 66 57
 80 51 65
 63 37 64
 33 49 53
 98 94 46
 97 36 21
 82 81 15
 25 36 97
 94 38 43
 56 85 9
 65 82 95
 91 75 95
 93 42 89
 55 34 1
 86 100 18
 6 47 85
 78 3 28
 46 38 24
 95 49 46
 62 94 26
 48 6 29
 87 94 13
 97 8 82
 82 72 74
 69 5 19
 97 1 89
 28 45 71
 81 83 91
 16 47 1
 60 18 74
 67 82 100
 36 97 34
 40 33 23
 90 70 78
 95 36 86
 53 72 27
 22 23 27
 88 12 65
 15 82 88
 3 77 33
 73 58 50
 16 61 48
 69 33 92
 83 93 59
 3 49 19
 95 64 38
 11 99 2
 10 18 80
 30 48 18
 38 23 60
 47 100 59
 86 23 76
 65 5 62
 36 48 89
 58 11 14
 6 29 98
 65 69 39
 54 27 78
 31 29 86
 80 85 83
 80 36 35
 77 77 89
 54 65 43
 91 81 89
 77 37 54
 38 77 32
 52 45 18
 25 31 27
 27 7 31
 48 56 33
 97 35 69
 16 24 11
 29 34 53
 98 28 20
 51 96 63
 86 98 27
 83 44 84
 94 76 84
 17 98 61
 49 21 53
 64 33 91
 12 16 7
 13 98 30
 83 45 55
 20 49 90
 39 50 35
 38 43 84
 70 67 47
 25 43 11
 12 79 44
 48 93 75
 278 283 70 206 135 276 299 92 144 113 108 263 114 86 36 168 278 290 87 287 97 203 147 186 28 152 180 201 250 144 13 123 112 109 296 93 278 205 216 261 273 132 277 238 248 283 155 126 155 92 154 75 235 75 214 35 73 30 108 228 263 90 273 48 161 280 162 151 214 145 202 98 283 89 125 96 64 60 146 75 72 213 247 161 246 152 94 113 31 210 286 9 248 97 292 56 103 74 273 158 206 279 4 157 118 298 193 193 192 107 150 238 186 163 260 53
