3 107
 45 26 87
 15 32 45
 33 76 68
 48 45 78
 7 44 9
 40 53 12
 39 41 16
 48 45 26
 51 54 87
 76 43 53
 60 99 21
 57 42 38
 3 65 37
 77 34 39
 69 92 16
 24 93 98
 68 34 100
 23 79 1
 69 56 6
 99 58 35
 55 29 28
 39 56 64
 40 84 14
 48 50 3
 46 51 9
 94 1 57
 61 41 40
 46 49 38
 6 10 27
 10 60 50
 85 22 75
 92 1 100
 80 97 27
 82 35 6
 69 88 18
 65 97 6
 78 16 66
 25 46 31
 87 72 22
 29 37 57
 29 86 73
 19 20 25
 26 87 62
 33 10 2
 95 57 64
 37 43 61
 43 57 91
 89 76 32
 81 77 78
 65 64 37
 19 13 64
 47 86 62
 47 74 27
 3 67 33
 51 89 66
 46 33 40
 36 53 8
 94 59 88
 28 69 10
 13 32 58
 10 2 52
 31 72 7
 70 71 47
 80 42 49
 98 28 76
 65 85 41
 26 79 100
 82 96 4
 25 93 13
 44 16 24
 13 49 76
 99 96 85
 48 67 5
 88 98 1
 51 47 51
 60 91 37
 31 72 25
 94 86 90
 96 18 6
 21 96 71
 35 100 86
 67 32 13
 54 71 78
 30 51 3
 28 70 14
 85 74 11
 72 40 82
 89 49 63
 97 71 95
 13 38 89
 43 41 22
 31 90 48
 23 55 53
 46 55 2
 67 8 45
 45 31 87
 38 38 66
 85 40 41
 23 71 16
 44 92 93
 3 8 66
 14 73 8
 42 22 29
 61 69 21
 69 99 70
 47 33 65
 75 16 25
 91 6 11
 69 48 231 285 240 247 20 111 195 165 246 168 212 49 18 132 223 95 231 254 193 60 180 73 14 231 151 58 176 254 105 102 233 254 202 147 111 288 65 158 294 75 276 99 215 8 294 120 284 273 119 266 136 236 110 275 204 48 112 261 62 268 209 255 238 133 187 190 170 1 154 155 269 148 141 268 119 50 109 219 256 6 115 183 159 259 88 21 300 292 289 160 270 106 145 193 48 138 225 90 248 146 41 269 155 278 149
